policy_number,age,months_as_customer,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,capital-gains,capital-loss,incident_type,incident_severity,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,property_damage,police_report_available,total_claim_amount,auto_make,auto_year,vehicle_claim,property_claim,injury_claim,fraud_reported
POL41614150,73,39,PA,500/1000,500,4429.2,F,BS,Finance,29438.65953681551,16094.05023116505,Single Vehicle Collision,Minor Damage,12,1,1,2,NO,NO,37671.88544790257,Toyota,2019,5381.72,1141.12,523.5,Y
POL93771004,28,33,NY,250/500,500,4846.91,M,MS,Legal,48317.17696995128,18507.927964834107,Parked Car Damage,Major Damage,12,1,1,0,YES,YES,35750.351818890245,Mazda,2018,5231.96,2835.26,90.75,Y
POL09013806,26,95,PA,100/300,500,1648.04,F,BS,Legal,49746.4742470021,18596.827362039632,Theft,Minor Damage,8,2,0,2,YES,YES,7200.52,Mercedes,2021,5224.57,1611.98,2091.17,N
POL98477596,51,78,IL,100/300,500,803.36,M,MS,Medical,31720.38486313356,1791.0216713928596,Multi-Vehicle Collision,Trivial Damage,5,3,0,1,YES,NO,3396.62,BMW,2010,2278.22,815.77,684.44,N
POL55553566,29,235,NY,100/300,500,3427.35,M,BS,Education,24574.186280829417,9834.921573230751,Parked Car Damage,Total Loss,17,2,0,0,NO,YES,11542.6,Mercedes,2008,8179.53,2445.07,192.87,N
POL90551076,52,126,NY,500/1000,500,2762.78,F,MS,Medical,8884.61525934628,7876.289570417659,Fire Damage,Major Damage,16,2,1,1,YES,NO,16714.75285602555,Toyota,2012,1414.66,495.09,230.52,Y
POL20918435,52,16,PA,250/500,500,3045.67,F,High School,Tech,10416.687218137322,20399.60885940011,Hit and Run,Total Loss,9,2,1,1,NO,YES,58570.828034730024,Audi,2009,9953.43,4609.27,2587.68,Y
POL79786305,18,160,IL,250/500,1000,708.22,F,High School,Finance,21460.00062446124,22062.36539314578,Parked Car Damage,Trivial Damage,1,2,0,2,NO,NO,3205.83,Toyota,2022,2518.28,655.85,460.34,N
POL05057397,57,174,NY,100/300,1000,3988.89,F,PhD,Tech,35114.31684716074,6278.081844306394,Single Vehicle Collision,Trivial Damage,0,1,0,1,YES,YES,4297.82,Honda,2021,2640.42,1021.12,48.7,N
POL69156716,39,109,OH,100/300,2000,1545.59,F,High School,Tech,38465.15582788722,24782.411893853114,Theft,Trivial Damage,13,1,0,2,YES,NO,1563.55,Mazda,2020,946.52,605.18,375.87,N
POL49328980,46,51,PA,500/1000,500,2007.22,M,PhD,Legal,11095.418928205541,14551.01574371653,Fire Damage,Trivial Damage,7,2,0,1,YES,NO,4491.83,Mazda,2010,2989.17,729.88,899.38,N
POL27148727,25,11,PA,500/1000,500,1527.59,F,MS,Other,26770.83873279272,7888.824838183776,Vehicle Rollover,Trivial Damage,23,1,0,0,NO,NO,2845.789615772585,BMW,2016,437.64,91.35,88.71,Y
POL17833321,28,207,NY,250/500,1000,4756.75,F,PhD,Retail,29580.253221740222,8992.59116125238,Hit and Run,Trivial Damage,8,2,1,1,YES,YES,1200.4,BMW,2017,651.3,283.34,20.17,N
POL16025643,58,220,IL,500/1000,1000,1259.25,F,High School,Finance,44653.900998356316,7906.117932857808,Multi-Vehicle Collision,Minor Damage,14,1,3,1,NO,YES,7316.39,BMW,2024,4070.29,2752.57,2150.23,N
POL47128715,54,3,NY,500/1000,500,3795.44,F,MS,Finance,43821.078088200775,18133.253761936907,Fire Damage,Major Damage,23,1,1,1,YES,YES,30456.74930283295,BMW,2014,3690.36,1847.78,344.76,Y
POL39915668,31,7,IN,500/1000,500,1605.86,F,PhD,Tech,40869.26006698464,15811.975446160655,Theft,Trivial Damage,23,1,0,0,YES,YES,28297.891628247573,Audi,2016,2545.13,914.67,850.34,Y
POL63341411,47,187,NY,100/300,1000,2412.14,F,MS,Other,25833.074503122734,28161.89882903448,Single Vehicle Collision,Trivial Damage,7,2,0,1,NO,NO,4453.36,Ford,2024,2721.62,1523.93,547.41,N
POL15931952,52,112,IN,100/300,1000,4982.28,M,MS,Construction,3254.1576857155806,8210.670399341529,Theft,Trivial Damage,9,1,1,2,YES,YES,1551.93,Honda,2007,1162.45,194.2,144.17,N
POL56904098,38,220,OH,250/500,2000,952.6,F,High School,Finance,16723.674124397163,9575.320445981019,Theft,Minor Damage,18,1,0,2,YES,NO,3816.34,Mercedes,2021,2472.44,842.48,916.23,N
POL36655289,54,204,PA,500/1000,2000,4466.12,F,MS,Construction,31086.02405676477,194.3201860733035,Theft,Major Damage,10,1,0,1,YES,YES,3131.53,BMW,2010,2342.61,979.57,481.22,N
POL93160875,22,148,PA,100/300,500,4757.22,M,BS,Construction,31880.359948119312,8950.160660160389,Parked Car Damage,Trivial Damage,12,2,1,1,YES,NO,3762.4,Nissan,2014,2472.11,887.79,877.8,N
POL24377294,36,185,IL,500/1000,1000,3642.02,M,High School,Medical,42453.64934003207,7526.400945093967,Fire Damage,Trivial Damage,22,1,1,0,YES,NO,883.8,Mazda,2015,555.41,347.16,43.07,Y
POL20954814,31,84,NY,250/500,2000,544.83,M,PhD,Retail,18969.698303176352,12059.872195958054,Multi-Vehicle Collision,Major Damage,14,2,0,1,NO,NO,2646.84,Honda,2019,1484.17,886.89,520.35,N
POL97374605,43,10,OH,500/1000,500,4193.59,M,BS,Medical,46831.10679940049,14869.217161216444,Multi-Vehicle Collision,Major Damage,22,1,0,0,NO,YES,91639.775662809,Nissan,2006,5805.39,3175.51,1883.25,Y
POL23302764,21,9,IN,250/500,2000,4470.22,M,High School,Other,8161.763399379402,20107.53587423472,Hit and Run,Major Damage,13,2,0,1,NO,YES,9531.51,Toyota,2024,5194.96,3505.46,467.83,N
POL20865675,42,5,IL,250/500,2000,4914.2,M,MS,Legal,2493.2915890442996,5756.655428312196,Vehicle Rollover,Minor Damage,14,2,0,2,YES,YES,6041.73,Mercedes,2025,3215.56,973.2,977.41,N
POL66184438,62,114,OH,100/300,2000,4276.92,F,PhD,Education,8834.555603995643,16692.565387551367,Single Vehicle Collision,Total Loss,8,1,1,1,YES,YES,5865.14,Nissan,2013,2967.47,1534.93,1386.78,N
POL61259047,59,120,OH,500/1000,1500,2505.14,M,MS,Education,23116.157546415085,21859.285957056596,Fire Damage,Minor Damage,9,1,1,1,YES,YES,5504.97,BMW,2006,3474.94,1245.71,106.09,N
POL29277423,42,140,IN,100/300,500,3598.92,F,MS,Construction,41145.42423140714,7235.4633149231795,Parked Car Damage,Major Damage,7,1,2,0,YES,YES,5249.71,BMW,2013,2723.4,1414.7,692.77,N
POL33059126,35,64,IN,500/1000,2000,2683.08,M,PhD,Tech,7691.81704903742,10536.347929139478,Parked Car Damage,Minor Damage,11,2,0,1,NO,YES,5077.74,Nissan,2008,3338.84,1984.17,1429.89,N
POL62015720,57,19,PA,500/1000,500,2088.58,M,PhD,Construction,27409.32300294531,6153.558530921231,Single Vehicle Collision,Minor Damage,12,1,1,0,NO,YES,1918.89,Audi,2021,1473.59,608.45,182.83,N
POL18596263,25,0,NY,250/500,500,3318.92,M,High School,Education,38829.57042134159,3330.96191891217,Theft,Major Damage,22,2,3,2,NO,YES,104111.2508207038,Mercedes,2013,6142.78,1988.17,505.12,Y
POL01367492,56,238,IL,250/500,1000,3964.25,F,High School,Other,1743.0807926586745,22686.12193325772,Fire Damage,Trivial Damage,3,3,1,0,NO,YES,2791.33,Chevrolet,2025,1834.43,475.99,250.29,N
POL61764750,57,45,NY,500/1000,500,3361.55,M,MS,Medical,2076.001793695287,7201.907967258158,Single Vehicle Collision,Trivial Damage,20,2,1,0,NO,YES,3485.63,Nissan,2009,2598.46,928.94,1003.5,N
POL11117830,31,135,IL,100/300,2000,4219.6,M,High School,Education,24529.55938525041,11027.060687106165,Fire Damage,Minor Damage,16,2,0,0,YES,NO,3562.96,Toyota,2011,1936.97,1384.76,32.62,N
POL99974192,49,9,OH,250/500,500,1293.69,M,BS,Other,9132.313973509854,7430.6054502653205,Fire Damage,Total Loss,20,1,0,1,YES,YES,19385.45,Audi,2018,10923.92,2232.79,1524.1,N
POL67649215,68,200,IN,250/500,1000,2181.63,M,PhD,Tech,22528.44978040544,1314.7400364201521,Multi-Vehicle Collision,Trivial Damage,1,1,0,0,NO,NO,1918.59,Audi,2012,1519.57,687.84,227.59,N
POL18260688,55,112,IN,500/1000,1500,1906.64,M,MS,Finance,2196.774491749309,21869.709580741146,Broken Windshield,Minor Damage,0,1,1,0,YES,NO,2547.46,Audi,2006,1164.17,687.88,511.82,N
POL87189813,50,232,OH,500/1000,1500,1373.57,M,BS,Retail,48843.532513752456,19299.898256652694,Broken Windshield,Minor Damage,10,1,1,1,YES,NO,7376.64,Nissan,2020,3239.48,950.63,2009.11,N
POL12920875,40,194,OH,250/500,1000,2494.28,F,BS,Other,32709.442714197212,14283.782767681243,Theft,Total Loss,23,2,0,0,YES,NO,11767.28,Ford,2020,5647.48,3925.03,520.77,Y
POL10293218,32,138,IL,100/300,2000,4765.43,M,PhD,Tech,34334.799934137896,20230.07734144226,Fire Damage,Major Damage,10,1,2,0,YES,NO,4730.9,Toyota,2017,2255.73,1362.75,199.08,N
POL40118458,50,2,OH,250/500,2000,2921.04,M,High School,Tech,25486.434860283363,25394.996894568154,Vehicle Rollover,Trivial Damage,7,1,2,0,YES,NO,19999.117481735764,Ford,2010,2049.1,1030.46,750.24,Y
POL26034084,42,137,IL,500/1000,2000,1788.82,M,BS,Tech,41245.50904094035,18553.874741328647,Vehicle Rollover,Minor Damage,12,1,1,1,YES,NO,6267.64,Audi,2006,3080.91,2448.11,1371.95,N
POL87297585,34,152,NY,250/500,500,2093.27,M,MS,Medical,41670.389249890235,27203.5567559055,Hit and Run,Trivial Damage,21,1,1,2,YES,YES,2469.19,Mazda,2023,1048.29,884.4,274.15,N
POL98831030,50,176,IN,500/1000,1500,3258.84,M,BS,Finance,7954.533573460726,6044.855822291215,Broken Windshield,Major Damage,5,1,0,1,YES,YES,6646.12,Nissan,2008,4375.61,1579.77,780.42,N
POL32432983,64,176,IN,250/500,2000,2087.36,F,PhD,Tech,38419.76826835364,26500.728596572026,Parked Car Damage,Minor Damage,8,1,2,1,YES,YES,4174.14,Chevrolet,2017,2402.99,793.55,609.9,N
POL95429618,72,5,IN,500/1000,1500,2922.56,M,High School,Finance,28333.74159493418,16246.044667613081,Theft,Major Damage,22,1,0,1,YES,YES,6276.73,Ford,2023,3402.7,1694.27,454.61,Y
POL44626714,19,10,NY,500/1000,1000,1733.72,F,High School,Construction,38119.25357624792,25248.772216417237,Parked Car Damage,Major Damage,0,2,2,0,YES,YES,8616.7,Honda,2019,4861.09,2039.39,1148.32,N
POL62831435,31,5,NY,100/300,1500,2056.69,F,MS,Legal,45934.977568481765,22314.286226933433,Broken Windshield,Major Damage,22,1,2,2,YES,NO,44507.09474268933,Mazda,2024,6894.93,1787.93,1009.51,Y
POL98926256,70,117,PA,500/1000,2000,3675.78,M,MS,Legal,16754.80866834922,1729.195840529636,Broken Windshield,Major Damage,12,3,1,0,YES,NO,63363.27717931409,BMW,2024,4731.51,2417.69,31.41,Y
POL60931418,57,163,IL,250/500,1500,3130.78,M,MS,Tech,28545.577059884174,25133.872889285885,Single Vehicle Collision,Trivial Damage,3,1,1,0,YES,NO,1646.94,BMW,2014,845.82,500.47,293.1,N
POL18615155,57,38,IL,500/1000,1000,920.69,M,MS,Medical,39374.145584681944,10118.654423693557,Broken Windshield,Minor Damage,3,3,0,0,NO,YES,6138.93,Nissan,2008,4352.38,1283.23,749.48,N
POL42340163,68,52,PA,250/500,1500,4879.32,F,MS,Other,49338.42959516283,12694.057475968615,Hit and Run,Trivial Damage,14,2,0,0,YES,YES,4457.175405420692,Honda,2024,574.42,160.71,73.53,Y
POL61128497,56,217,IN,100/300,500,722.02,F,BS,Tech,30628.813815397087,332.2360874681918,Vehicle Rollover,Trivial Damage,23,2,1,0,YES,YES,1900.03,Toyota,2024,1223.07,418.93,55.18,N
POL18594849,68,7,IL,250/500,1000,873.23,M,BS,Legal,36061.400619418,22761.645827148186,Fire Damage,Major Damage,17,2,1,0,YES,YES,10040.59,Chevrolet,2023,4349.04,2426.03,1331.07,Y
POL10256258,23,230,IL,100/300,500,3656.24,M,PhD,Construction,42317.25286440737,14008.719315800967,Broken Windshield,Minor Damage,13,2,0,0,YES,NO,5517.66,Chevrolet,2009,3038.0,1099.5,989.07,N
POL89679240,23,55,IN,100/300,500,3686.08,F,High School,Education,37564.06572155677,28188.549323580122,Vehicle Rollover,Major Damage,16,1,2,1,YES,YES,11643.64,Toyota,2022,6626.73,1413.91,295.52,N
POL82226940,20,103,OH,500/1000,2000,585.21,F,BS,Medical,47116.600956078306,8429.938394465884,Theft,Minor Damage,17,3,0,0,YES,YES,3167.58,Ford,2013,1383.06,969.47,419.82,N
POL53967275,24,128,OH,100/300,2000,3392.39,F,MS,Legal,11485.465244229465,14882.153359613038,Vehicle Rollover,Trivial Damage,10,2,0,0,YES,YES,2977.24,Audi,2025,1810.38,1137.45,524.12,N
POL78446834,68,2,PA,250/500,1000,649.67,M,PhD,Tech,45389.78877105166,12334.045110110095,Fire Damage,Minor Damage,12,1,0,0,YES,YES,6053.41,Mazda,2013,2599.51,785.15,1021.32,Y
POL14651113,25,117,NY,100/300,2000,4823.46,M,MS,Tech,10355.287313961848,23763.300352464128,Hit and Run,Trivial Damage,15,1,2,0,NO,YES,2436.8,Honda,2010,1040.02,563.69,589.59,N
POL12901487,59,131,IL,100/300,1500,3632.64,M,High School,Tech,28256.398411949296,16069.306177833832,Hit and Run,Total Loss,14,2,0,1,YES,YES,7712.02,Mazda,2021,4203.0,1636.57,2152.99,N
POL06827788,69,29,IL,500/1000,1000,1339.6,F,MS,Education,26144.823988093496,13796.337945280446,Single Vehicle Collision,Trivial Damage,10,1,0,0,YES,NO,792.63,Audi,2024,364.59,240.06,48.79,N
POL16093068,32,11,PA,250/500,2000,1211.47,M,PhD,Other,41566.58531745242,28404.592617230162,Multi-Vehicle Collision,Minor Damage,10,1,0,1,YES,NO,2054.49,Chevrolet,2019,939.22,753.07,306.63,N
POL53890972,64,34,PA,100/300,2000,3063.48,M,PhD,Education,19927.361161482095,11338.299494598841,Hit and Run,Minor Damage,22,3,1,1,YES,NO,886.27,Nissan,2018,476.18,316.7,208.49,N
POL83215285,46,76,IL,500/1000,1500,3350.83,F,PhD,Legal,7159.143051419692,14700.570194683822,Vehicle Rollover,Minor Damage,3,1,1,2,YES,YES,2367.71,Honda,2018,1210.85,404.92,502.58,N
POL06762515,50,179,IN,500/1000,500,4240.57,M,High School,Other,35339.78420299799,16624.22514539982,Hit and Run,Minor Damage,14,1,2,0,NO,YES,9952.00145012462,Mazda,2015,871.72,509.74,5.75,Y
POL38144744,69,158,IN,250/500,1500,4564.95,F,BS,Tech,30331.599950895823,1615.9454575370657,Theft,Total Loss,9,1,0,1,YES,NO,2202.08,Chevrolet,2025,1154.75,509.02,46.08,N
POL30963480,47,101,NY,500/1000,500,2266.4,M,BS,Legal,41353.41238386357,15795.364954756795,Multi-Vehicle Collision,Trivial Damage,12,1,1,0,NO,YES,1867.02,Chevrolet,2010,1177.26,732.48,76.35,N
POL79705097,56,234,IL,100/300,2000,4298.38,M,PhD,Education,37931.5379780206,10073.999628930154,Hit and Run,Trivial Damage,21,1,3,1,YES,NO,9491.427515052274,Nissan,2025,1483.52,753.65,239.85,Y
POL54510526,44,86,IL,500/1000,500,2940.71,M,BS,Tech,44741.260698689795,19507.40431386744,Vehicle Rollover,Major Damage,15,1,0,0,YES,YES,7379.33,BMW,2020,3999.12,1753.05,2113.93,N
POL50167318,53,195,IL,250/500,500,2617.62,M,High School,Education,41955.879133329145,19308.742609215933,Theft,Total Loss,7,2,2,0,NO,YES,18727.71,BMW,2007,13258.63,4276.11,5413.54,N
POL82617024,46,51,IL,250/500,2000,3645.37,M,MS,Finance,34301.81535570524,21338.957296946846,Single Vehicle Collision,Minor Damage,20,1,2,0,NO,YES,902.28,Ford,2021,419.42,341.08,216.69,N
POL37654562,55,79,PA,500/1000,1000,964.38,M,High School,Construction,23285.36720023923,11974.508287104212,Hit and Run,Total Loss,10,2,0,1,YES,YES,3754.99,Toyota,2022,2448.33,612.97,271.7,N
POL84177225,74,134,OH,100/300,1500,1694.24,M,BS,Legal,1018.2163361298901,3143.628510883438,Vehicle Rollover,Minor Damage,1,2,0,1,NO,YES,3317.32,Honda,2021,1582.34,1219.99,241.11,N
POL60531340,50,21,IL,500/1000,2000,4175.43,F,High School,Other,15379.68077991449,13174.595948771559,Hit and Run,Minor Damage,10,1,0,1,YES,NO,4735.17,Audi,2016,2768.85,1409.85,1368.06,N
POL26650237,54,10,OH,250/500,1500,2768.35,F,MS,Tech,36376.11692862305,16565.595480934364,Single Vehicle Collision,Major Damage,22,2,2,0,YES,YES,30088.006226150042,Toyota,2016,2125.02,690.99,760.75,Y
POL41678725,44,74,IN,500/1000,1500,4586.2,M,High School,Construction,2975.1513691955056,745.5075362243557,Fire Damage,Total Loss,20,1,1,2,YES,NO,5915.5,Honda,2022,4629.27,2278.53,1363.31,N
POL68621102,72,183,NY,500/1000,500,899.17,F,BS,Tech,37829.732941841976,16420.889993532626,Parked Car Damage,Trivial Damage,14,1,0,0,NO,YES,435.27,Ford,2006,207.57,105.4,82.01,N
POL25803056,50,224,IN,100/300,2000,1910.36,F,MS,Retail,25819.177487890178,11978.289818175797,Vehicle Rollover,Trivial Damage,19,1,2,1,NO,YES,2738.05,Ford,2019,1611.84,376.71,451.31,N
POL90674471,21,57,IL,500/1000,1000,2099.97,M,BS,Retail,43389.29085087826,14353.72224465595,Theft,Minor Damage,12,1,0,0,NO,YES,4439.82,Nissan,2009,2975.42,1693.08,1303.16,Y
POL63928234,39,92,IN,100/300,1500,2402.24,F,MS,Medical,32990.80298940967,9100.087305114945,Vehicle Rollover,Trivial Damage,14,2,0,1,YES,NO,2445.83,Toyota,2025,1186.3,844.83,97.27,N
POL14363718,19,191,PA,500/1000,1500,4940.69,M,PhD,Finance,39922.092890705644,14764.185869742916,Hit and Run,Minor Damage,23,2,0,0,YES,NO,65220.66229360597,Mazda,2018,3287.95,1251.19,849.57,Y
POL92392312,27,102,OH,500/1000,1000,1897.98,M,MS,Other,8575.241062761002,26455.22011911511,Parked Car Damage,Major Damage,17,1,1,0,YES,YES,6187.35,Audi,2011,4325.79,935.48,114.34,N
POL60432609,22,139,IL,100/300,1500,2834.07,F,BS,Other,8645.708223602061,23635.471453904353,Fire Damage,Major Damage,22,2,1,0,YES,NO,9804.96,Mercedes,2018,7430.24,2139.57,2492.62,N
POL31066843,27,6,PA,100/300,2000,2912.32,M,PhD,Finance,10554.55609333486,18481.32535209717,Theft,Minor Damage,18,1,0,0,YES,YES,24305.942207094136,Toyota,2021,2365.96,1164.38,353.56,Y
POL35670860,50,4,OH,250/500,1000,3968.59,F,PhD,Medical,16665.588355302556,18797.313180742094,Vehicle Rollover,Trivial Damage,22,3,0,0,YES,YES,3512.12,Chevrolet,2014,1855.33,636.14,900.26,Y
POL41454563,71,54,PA,100/300,2000,2830.41,F,BS,Retail,45221.38068503459,26861.711255879985,Theft,Major Damage,17,1,1,0,YES,YES,10011.59,BMW,2019,7460.97,1083.13,1778.8,N
POL50200053,55,230,IN,500/1000,1000,3225.82,F,BS,Legal,38715.37357247883,14390.885318609091,Vehicle Rollover,Major Damage,18,2,2,0,NO,NO,1265.05,Toyota,2017,901.53,462.98,337.79,Y
POL47491624,30,105,IL,250/500,1500,3889.98,F,High School,Medical,18232.150370525284,16180.400401784018,Theft,Minor Damage,11,1,1,1,NO,NO,11468.143722719926,Audi,2013,910.22,244.84,132.19,Y
POL75541108,48,61,IN,100/300,1000,955.09,F,BS,Retail,45924.04927671258,25805.356916584606,Theft,Minor Damage,11,2,1,1,YES,NO,6691.13,Chevrolet,2021,3302.36,1350.24,801.64,N
POL25559895,64,239,NY,100/300,2000,4835.62,F,MS,Legal,38946.2963171156,22641.517779262056,Parked Car Damage,Major Damage,10,1,0,0,NO,YES,6187.99,Mazda,2023,2645.24,1253.6,363.96,N
POL34396112,53,89,IL,250/500,1000,4308.37,F,PhD,Tech,32802.87161024255,12991.834717449285,Hit and Run,Major Damage,22,1,1,0,YES,NO,9174.55,Mercedes,2009,5835.8,2097.9,1283.46,Y
POL91093371,62,231,IN,500/1000,1500,2249.48,F,High School,Other,21828.33753735764,9157.869507110792,Broken Windshield,Major Damage,22,1,0,1,NO,NO,7679.97,Mazda,2025,5432.61,2427.7,2262.56,N
POL18954738,41,200,IL,500/1000,500,3777.88,M,High School,Construction,32582.995200050736,15534.560711538437,Vehicle Rollover,Major Damage,0,1,1,1,YES,NO,7370.29,Audi,2012,3483.84,2556.75,885.14,N
POL20236848,69,232,OH,250/500,1500,3930.46,M,High School,Medical,29661.453062100474,3618.3354955689906,Vehicle Rollover,Major Damage,6,1,0,2,YES,YES,2120.81,BMW,2011,877.9,370.27,403.12,N
POL55716176,73,97,IL,500/1000,1500,4326.11,F,PhD,Education,39093.2959744928,20413.14718046053,Single Vehicle Collision,Minor Damage,22,2,0,0,YES,YES,666.0,BMW,2012,434.17,105.85,38.21,N
POL88029424,32,236,IL,100/300,500,1347.43,F,High School,Construction,11278.976579867378,13933.433689758587,Multi-Vehicle Collision,Trivial Damage,15,1,0,1,YES,YES,2828.96,Audi,2015,1613.14,388.01,646.87,N
POL09036788,46,76,OH,500/1000,1000,3666.66,F,PhD,Retail,44278.88850722134,17849.637288048256,Theft,Minor Damage,11,2,0,0,YES,YES,72217.5316141489,Mazda,2013,4920.99,2595.15,1333.04,Y
POL12786866,25,182,IN,100/300,1500,650.03,M,PhD,Tech,29593.49854454153,25385.965050452465,Vehicle Rollover,Major Damage,20,1,0,0,YES,NO,7858.16,Nissan,2010,5956.24,1350.65,415.32,N
POL94320293,22,118,IL,500/1000,500,1020.11,F,High School,Legal,40337.9279525874,10689.615551711677,Vehicle Rollover,Trivial Damage,10,1,0,0,NO,YES,25212.740222574797,Nissan,2023,1630.51,728.24,205.95,Y
POL90878844,46,35,PA,100/300,2000,3992.3,F,PhD,Education,17365.13849329387,14915.038506290715,Theft,Minor Damage,23,1,0,1,YES,YES,903.37,Honda,2017,607.91,171.25,167.73,N
POL34481230,64,3,IL,250/500,500,4158.51,F,High School,Education,19595.71221516563,16670.716551734393,Broken Windshield,Minor Damage,23,1,1,0,YES,YES,64042.46933031277,Audi,2006,3528.85,2731.06,1300.21,Y
POL83402424,21,5,IN,100/300,1500,3165.96,F,BS,Legal,46864.40723484883,8405.245612510054,Vehicle Rollover,Trivial Damage,23,2,3,0,YES,NO,27746.804588173396,Honda,2008,1715.21,415.41,601.72,Y
POL03381059,29,171,OH,500/1000,2000,3117.59,F,MS,Finance,31097.754621971042,8245.071734712845,Broken Windshield,Minor Damage,0,1,1,0,YES,YES,5603.36,Audi,2014,3885.8,1106.84,929.64,N
POL55184269,62,144,IN,100/300,1500,3872.8,F,BS,Retail,15886.861054050405,15786.674581129686,Single Vehicle Collision,Trivial Damage,12,2,2,2,YES,NO,3953.04,Mazda,2020,1693.89,1012.33,725.24,N
POL45005342,19,129,NY,500/1000,500,4577.38,F,MS,Tech,4107.879051266439,7714.894443856777,Parked Car Damage,Total Loss,22,2,0,0,YES,NO,15446.78,Toyota,2007,7536.69,3790.88,1456.27,Y
POL40891649,44,140,IL,500/1000,2000,2395.02,M,PhD,Retail,21717.64125055678,25836.069997439758,Multi-Vehicle Collision,Trivial Damage,20,1,0,1,YES,YES,855.22,Ford,2007,367.42,267.95,45.87,N
POL83735439,48,158,IL,100/300,1500,1016.7,F,PhD,Tech,42454.14112804115,29846.25489591639,Single Vehicle Collision,Total Loss,9,1,1,1,YES,YES,13453.62,BMW,2013,10220.93,3701.48,88.34,N
POL62736527,68,92,OH,500/1000,500,4275.5,M,High School,Other,12571.590311815606,6325.565384536991,Multi-Vehicle Collision,Trivial Damage,11,1,0,2,YES,YES,1041.38,Ford,2020,641.34,268.13,5.61,N
POL17272239,68,113,IL,250/500,2000,2037.4,F,BS,Legal,43014.35180998372,17257.75167167427,Hit and Run,Minor Damage,15,2,1,1,YES,NO,6197.29,Audi,2020,4629.76,2110.71,87.25,N
POL72404226,53,27,PA,500/1000,1500,1102.04,M,BS,Construction,8082.347204060408,4361.341319457194,Vehicle Rollover,Trivial Damage,19,1,0,0,YES,YES,1833.84,Chevrolet,2007,1138.15,612.58,384.4,N
POL93121637,53,187,PA,250/500,500,3265.77,F,PhD,Retail,6496.624060838569,5567.13922789004,Parked Car Damage,Major Damage,22,1,1,2,YES,NO,1953.94,Ford,2019,1496.9,554.16,181.01,N
POL61820916,43,154,IN,250/500,1500,3101.38,M,BS,Construction,30284.60414794788,22979.069503630835,Multi-Vehicle Collision,Major Damage,9,2,3,1,NO,YES,6062.93,Honda,2007,2973.19,1502.79,968.66,N
POL60100231,60,1,OH,500/1000,1500,2634.11,M,MS,Other,40231.89588965988,5990.403219290646,Broken Windshield,Trivial Damage,23,3,1,0,YES,YES,10349.896773338418,Ford,2025,1409.17,596.55,372.73,Y
POL42900185,44,222,NY,250/500,1500,4369.09,F,PhD,Other,39002.64618528698,22470.035297762035,Broken Windshield,Trivial Damage,16,2,3,0,YES,YES,4258.63,Honda,2022,3089.67,709.77,1137.91,N
POL13279724,22,231,IN,250/500,1000,1725.02,M,High School,Education,27180.43327757074,12120.861583996948,Vehicle Rollover,Trivial Damage,17,1,0,1,YES,NO,669.87,Toyota,2013,330.46,107.96,82.23,N
POL57230848,37,206,OH,100/300,1500,559.56,F,High School,Finance,31934.586644402312,14383.780630585477,Fire Damage,Trivial Damage,7,2,0,2,NO,NO,1332.61,Toyota,2020,647.1,376.62,103.81,N
POL10018418,28,32,OH,250/500,2000,1955.61,F,PhD,Legal,12909.964535910107,7782.35097049757,Fire Damage,Trivial Damage,3,1,0,2,YES,NO,3732.29,Ford,2013,2861.5,487.92,440.75,N
POL62030366,27,19,IN,250/500,500,543.68,F,PhD,Construction,27561.045534145247,16469.438459070687,Parked Car Damage,Trivial Damage,7,1,1,0,NO,YES,1410.26,Honda,2018,947.8,448.91,15.58,N
POL25436172,57,169,IN,250/500,500,2946.16,M,High School,Other,10385.075239764152,9946.647530088592,Vehicle Rollover,Major Damage,23,2,0,0,YES,NO,11172.59,Ford,2006,5706.18,1532.96,267.91,Y
POL13145195,55,139,IL,250/500,1000,2202.12,M,MS,Legal,46417.92526154196,5236.984325855191,Broken Windshield,Major Damage,22,2,2,0,YES,YES,4692.8,Ford,2023,3037.05,1246.37,947.28,N
POL15109226,23,100,NY,250/500,1000,4162.74,M,BS,Medical,33902.836784704996,4172.1916912649285,Vehicle Rollover,Minor Damage,1,1,1,1,YES,NO,6323.41,Honda,2019,4856.65,1802.1,174.77,N
POL85926249,25,200,PA,500/1000,1000,4089.13,F,PhD,Retail,28232.20079562493,29989.708858549242,Parked Car Damage,Total Loss,21,1,1,0,YES,YES,15294.75,Chevrolet,2014,7847.04,2085.92,1659.47,N
POL45147541,40,22,IL,250/500,1500,2455.87,F,PhD,Education,12357.114384722696,10368.989338390782,Vehicle Rollover,Minor Damage,0,1,1,1,YES,YES,2374.02,Audi,2022,1486.54,355.62,287.18,N
POL02252677,64,0,OH,500/1000,1500,1474.18,M,MS,Legal,20448.909338944766,24147.7419766644,Broken Windshield,Trivial Damage,13,2,1,1,YES,NO,17433.06860790013,Nissan,2011,1291.58,405.22,271.33,Y
POL11964215,43,223,NY,500/1000,2000,2400.93,F,High School,Medical,39010.83706407412,10241.553080714355,Hit and Run,Minor Damage,20,2,1,0,NO,YES,16292.814467328772,Ford,2011,1647.84,377.84,733.3,Y
